,時刻,エリアプライス東京(円/kWh)
0,2021-09-12 0:30:00,7.12
1,2021-09-12 1:00:00,7.09
2,2021-09-12 1:30:00,6.77
3,2021-09-12 2:00:00,6.77
4,2021-09-12 2:30:00,6.77
5,2021-09-12 3:00:00,6.77
6,2021-09-12 3:30:00,6.78
7,2021-09-12 4:00:00,6.77
8,2021-09-12 4:30:00,6.82
9,2021-09-12 5:00:00,6.82
10,2021-09-12 5:30:00,6.87
11,2021-09-12 6:00:00,6.76
12,2021-09-12 6:30:00,6.72
13,2021-09-12 7:00:00,6.65
14,2021-09-12 7:30:00,6.41
15,2021-09-12 8:00:00,6.41
16,2021-09-12 8:30:00,6.41
17,2021-09-12 9:00:00,6.51
18,2021-09-12 9:30:00,6.54
19,2021-09-12 10:00:00,6.54
20,2021-09-12 10:30:00,6.54
21,2021-09-12 11:00:00,6.41
22,2021-09-12 11:30:00,6.4
23,2021-09-12 12:00:00,6.54
24,2021-09-12 12:30:00,6.52
25,2021-09-12 13:00:00,6.52
26,2021-09-12 13:30:00,6.73
27,2021-09-12 14:00:00,6.83
28,2021-09-12 14:30:00,7.13
29,2021-09-12 15:00:00,7.29
30,2021-09-12 15:30:00,7.2
31,2021-09-12 16:00:00,7.33
32,2021-09-12 16:30:00,7.42
33,2021-09-12 17:00:00,7.42
34,2021-09-12 17:30:00,9.44
35,2021-09-12 18:00:00,9.68
36,2021-09-12 18:30:00,9.9
37,2021-09-12 19:00:00,9.76
38,2021-09-12 19:30:00,9.68
39,2021-09-12 20:00:00,8.56
40,2021-09-12 20:30:00,7.6
41,2021-09-12 21:00:00,7.6
42,2021-09-12 21:30:00,7.21
43,2021-09-12 22:00:00,7.21
44,2021-09-12 22:30:00,9.93
45,2021-09-12 23:00:00,9.92
46,2021-09-12 23:30:00,7.35
47,2021-09-13 00:00:00,7.28
