,時刻,エリアプライス中部(円/kWh)
0,2021-10-27 0:30:00,13.73
1,2021-10-27 1:00:00,13.67
2,2021-10-27 1:30:00,14.55
3,2021-10-27 2:00:00,14.93
4,2021-10-27 2:30:00,13.66
5,2021-10-27 3:00:00,13.57
6,2021-10-27 3:30:00,10.76
7,2021-10-27 4:00:00,10.76
8,2021-10-27 4:30:00,10.68
9,2021-10-27 5:00:00,10.92
10,2021-10-27 5:30:00,10.92
11,2021-10-27 6:00:00,10.98
12,2021-10-27 6:30:00,20.17
13,2021-10-27 7:00:00,20.17
14,2021-10-27 7:30:00,23.0
15,2021-10-27 8:00:00,15.38
16,2021-10-27 8:30:00,10.81
17,2021-10-27 9:00:00,10.11
18,2021-10-27 9:30:00,10.77
19,2021-10-27 10:00:00,10.11
20,2021-10-27 10:30:00,9.69
21,2021-10-27 11:00:00,9.69
22,2021-10-27 11:30:00,9.41
23,2021-10-27 12:00:00,9.41
24,2021-10-27 12:30:00,9.31
25,2021-10-27 13:00:00,9.89
26,2021-10-27 13:30:00,11.24
27,2021-10-27 14:00:00,11.24
28,2021-10-27 14:30:00,11.46
29,2021-10-27 15:00:00,11.55
30,2021-10-27 15:30:00,11.55
31,2021-10-27 16:00:00,13.66
32,2021-10-27 16:30:00,19.75
33,2021-10-27 17:00:00,23.26
34,2021-10-27 17:30:00,25.0
35,2021-10-27 18:00:00,25.0
36,2021-10-27 18:30:00,21.61
37,2021-10-27 19:00:00,21.61
38,2021-10-27 19:30:00,20.17
39,2021-10-27 20:00:00,17.55
40,2021-10-27 20:30:00,20.0
41,2021-10-27 21:00:00,13.71
42,2021-10-27 21:30:00,13.22
43,2021-10-27 22:00:00,13.16
44,2021-10-27 22:30:00,13.14
45,2021-10-27 23:00:00,11.55
46,2021-10-27 23:30:00,10.67
47,2021-10-28 00:00:00,11.4
