,時刻,エリアプライス九州(円/kWh)
0,2021-09-30 0:30:00,7.37
1,2021-09-30 1:00:00,7.37
2,2021-09-30 1:30:00,7.37
3,2021-09-30 2:00:00,7.37
4,2021-09-30 2:30:00,7.33
5,2021-09-30 3:00:00,7.33
6,2021-09-30 3:30:00,7.46
7,2021-09-30 4:00:00,7.58
8,2021-09-30 4:30:00,7.58
9,2021-09-30 5:00:00,7.58
10,2021-09-30 5:30:00,7.58
11,2021-09-30 6:00:00,7.58
12,2021-09-30 6:30:00,7.58
13,2021-09-30 7:00:00,7.37
14,2021-09-30 7:30:00,0.01
15,2021-09-30 8:00:00,0.01
16,2021-09-30 8:30:00,5.9
17,2021-09-30 9:00:00,5.9
18,2021-09-30 9:30:00,7.27
19,2021-09-30 10:00:00,7.28
20,2021-09-30 10:30:00,0.01
21,2021-09-30 11:00:00,0.01
22,2021-09-30 11:30:00,2.0
23,2021-09-30 12:00:00,0.01
24,2021-09-30 12:30:00,0.01
25,2021-09-30 13:00:00,0.01
26,2021-09-30 13:30:00,2.0
27,2021-09-30 14:00:00,8.11
28,2021-09-30 14:30:00,8.11
29,2021-09-30 15:00:00,8.11
30,2021-09-30 15:30:00,8.11
31,2021-09-30 16:00:00,8.1
32,2021-09-30 16:30:00,8.17
33,2021-09-30 17:00:00,10.74
34,2021-09-30 17:30:00,12.21
35,2021-09-30 18:00:00,12.71
36,2021-09-30 18:30:00,12.71
37,2021-09-30 19:00:00,13.26
38,2021-09-30 19:30:00,13.0
39,2021-09-30 20:00:00,10.74
40,2021-09-30 20:30:00,10.74
41,2021-09-30 21:00:00,8.17
42,2021-09-30 21:30:00,8.17
43,2021-09-30 22:00:00,8.17
44,2021-09-30 22:30:00,8.11
45,2021-09-30 23:00:00,7.58
46,2021-09-30 23:30:00,7.58
47,2021-10-01 00:00:00,7.58
