,éûçè,ÉGÉäÉAÉvÉâÉCÉXñkäCìπ(â~/kWh)
0,2021-11-14 0:30:00,9.12
1,2021-11-14 1:00:00,7.86
2,2021-11-14 1:30:00,7.95
3,2021-11-14 2:00:00,7.97
4,2021-11-14 2:30:00,7.97
5,2021-11-14 3:00:00,7.97
6,2021-11-14 3:30:00,7.97
7,2021-11-14 4:00:00,7.97
8,2021-11-14 4:30:00,7.97
9,2021-11-14 5:00:00,7.97
10,2021-11-14 5:30:00,8.56
11,2021-11-14 6:00:00,8.56
12,2021-11-14 6:30:00,9.2
13,2021-11-14 7:00:00,11.39
14,2021-11-14 7:30:00,7.89
15,2021-11-14 8:00:00,7.72
16,2021-11-14 8:30:00,7.63
17,2021-11-14 9:00:00,7.54
18,2021-11-14 9:30:00,7.69
19,2021-11-14 10:00:00,7.67
20,2021-11-14 10:30:00,7.58
21,2021-11-14 11:00:00,7.56
22,2021-11-14 11:30:00,7.65
23,2021-11-14 12:00:00,7.8
24,2021-11-14 12:30:00,9.11
25,2021-11-14 13:00:00,9.12
26,2021-11-14 13:30:00,9.16
27,2021-11-14 14:00:00,9.16
28,2021-11-14 14:30:00,9.06
29,2021-11-14 15:00:00,9.07
30,2021-11-14 15:30:00,7.91
31,2021-11-14 16:00:00,13.3
32,2021-11-14 16:30:00,13.33
33,2021-11-14 17:00:00,13.84
34,2021-11-14 17:30:00,19.17
35,2021-11-14 18:00:00,14.12
36,2021-11-14 18:30:00,14.12
37,2021-11-14 19:00:00,14.27
38,2021-11-14 19:30:00,13.97
39,2021-11-14 20:00:00,13.87
40,2021-11-14 20:30:00,13.82
41,2021-11-14 21:00:00,13.73
42,2021-11-14 21:30:00,13.34
43,2021-11-14 22:00:00,9.83
44,2021-11-14 22:30:00,9.83
45,2021-11-14 23:00:00,9.18
46,2021-11-14 23:30:00,13.42
47,2021-11-15 00:00:00,10.6
