,時刻,エリアプライス北陸(円/kWh)
0,2021-10-09 0:30:00,11.08
1,2021-10-09 1:00:00,11.08
2,2021-10-09 1:30:00,13.37
3,2021-10-09 2:00:00,18.68
4,2021-10-09 2:30:00,22.93
5,2021-10-09 3:00:00,18.6
6,2021-10-09 3:30:00,16.0
7,2021-10-09 4:00:00,16.94
8,2021-10-09 4:30:00,20.0
9,2021-10-09 5:00:00,25.95
10,2021-10-09 5:30:00,24.12
11,2021-10-09 6:00:00,17.66
12,2021-10-09 6:30:00,13.68
13,2021-10-09 7:00:00,10.29
14,2021-10-09 7:30:00,10.24
15,2021-10-09 8:00:00,9.25
16,2021-10-09 8:30:00,7.84
17,2021-10-09 9:00:00,7.82
18,2021-10-09 9:30:00,7.82
19,2021-10-09 10:00:00,7.76
20,2021-10-09 10:30:00,7.65
21,2021-10-09 11:00:00,7.78
22,2021-10-09 11:30:00,7.82
23,2021-10-09 12:00:00,7.83
24,2021-10-09 12:30:00,7.86
25,2021-10-09 13:00:00,7.81
26,2021-10-09 13:30:00,8.7
27,2021-10-09 14:00:00,9.86
28,2021-10-09 14:30:00,10.29
29,2021-10-09 15:00:00,10.42
30,2021-10-09 15:30:00,10.0
31,2021-10-09 16:00:00,10.47
32,2021-10-09 16:30:00,12.05
33,2021-10-09 17:00:00,11.94
34,2021-10-09 17:30:00,12.21
35,2021-10-09 18:00:00,13.66
36,2021-10-09 18:30:00,15.0
37,2021-10-09 19:00:00,13.67
38,2021-10-09 19:30:00,17.87
39,2021-10-09 20:00:00,16.29
40,2021-10-09 20:30:00,25.95
41,2021-10-09 21:00:00,29.77
42,2021-10-09 21:30:00,25.95
43,2021-10-09 22:00:00,25.34
44,2021-10-09 22:30:00,18.36
45,2021-10-09 23:00:00,11.52
46,2021-10-09 23:30:00,10.78
47,2021-10-10 00:00:00,10.42
