,時刻,エリアプライス四国(円/kWh)
0,2021-10-20 0:30:00,11.04
1,2021-10-20 1:00:00,11.97
2,2021-10-20 1:30:00,13.14
3,2021-10-20 2:00:00,13.14
4,2021-10-20 2:30:00,12.11
5,2021-10-20 3:00:00,13.43
6,2021-10-20 3:30:00,16.13
7,2021-10-20 4:00:00,15.01
8,2021-10-20 4:30:00,16.13
9,2021-10-20 5:00:00,13.02
10,2021-10-20 5:30:00,13.77
11,2021-10-20 6:00:00,14.0
12,2021-10-20 6:30:00,24.21
13,2021-10-20 7:00:00,18.68
14,2021-10-20 7:30:00,13.77
15,2021-10-20 8:00:00,13.73
16,2021-10-20 8:30:00,13.72
17,2021-10-20 9:00:00,15.01
18,2021-10-20 9:30:00,11.21
19,2021-10-20 10:00:00,10.29
20,2021-10-20 10:30:00,7.94
21,2021-10-20 11:00:00,7.68
22,2021-10-20 11:30:00,7.91
23,2021-10-20 12:00:00,7.58
24,2021-10-20 12:30:00,6.97
25,2021-10-20 13:00:00,6.97
26,2021-10-20 13:30:00,8.19
27,2021-10-20 14:00:00,9.24
28,2021-10-20 14:30:00,11.09
29,2021-10-20 15:00:00,11.44
30,2021-10-20 15:30:00,11.45
31,2021-10-20 16:00:00,11.35
32,2021-10-20 16:30:00,14.29
33,2021-10-20 17:00:00,20.01
34,2021-10-20 17:30:00,25.06
35,2021-10-20 18:00:00,19.36
36,2021-10-20 18:30:00,25.0
37,2021-10-20 19:00:00,25.01
38,2021-10-20 19:30:00,26.07
39,2021-10-20 20:00:00,18.46
40,2021-10-20 20:30:00,24.06
41,2021-10-20 21:00:00,16.13
42,2021-10-20 21:30:00,15.9
43,2021-10-20 22:00:00,15.01
44,2021-10-20 22:30:00,16.13
45,2021-10-20 23:00:00,14.66
46,2021-10-20 23:30:00,13.14
47,2021-10-21 00:00:00,9.74
