,時刻,エリアプライス東京(円/kWh)
0,2021-12-18 0:30:00,13.8
1,2021-12-18 1:00:00,14.05
2,2021-12-18 1:30:00,14.59
3,2021-12-18 2:00:00,14.02
4,2021-12-18 2:30:00,12.99
5,2021-12-18 3:00:00,13.28
6,2021-12-18 3:30:00,13.28
7,2021-12-18 4:00:00,12.66
8,2021-12-18 4:30:00,13.09
9,2021-12-18 5:00:00,13.28
10,2021-12-18 5:30:00,15.3
11,2021-12-18 6:00:00,15.0
12,2021-12-18 6:30:00,16.18
13,2021-12-18 7:00:00,16.54
14,2021-12-18 7:30:00,16.54
15,2021-12-18 8:00:00,16.54
16,2021-12-18 8:30:00,16.54
17,2021-12-18 9:00:00,16.54
18,2021-12-18 9:30:00,16.17
19,2021-12-18 10:00:00,16.0
20,2021-12-18 10:30:00,13.77
21,2021-12-18 11:00:00,13.67
22,2021-12-18 11:30:00,13.71
23,2021-12-18 12:00:00,13.2
24,2021-12-18 12:30:00,12.52
25,2021-12-18 13:00:00,12.4
26,2021-12-18 13:30:00,12.85
27,2021-12-18 14:00:00,13.67
28,2021-12-18 14:30:00,13.4
29,2021-12-18 15:00:00,16.0
30,2021-12-18 15:30:00,15.44
31,2021-12-18 16:00:00,16.17
32,2021-12-18 16:30:00,16.55
33,2021-12-18 17:00:00,20.0
34,2021-12-18 17:30:00,25.0
35,2021-12-18 18:00:00,25.57
36,2021-12-18 18:30:00,20.02
37,2021-12-18 19:00:00,19.45
38,2021-12-18 19:30:00,27.0
39,2021-12-18 20:00:00,17.02
40,2021-12-18 20:30:00,25.0
41,2021-12-18 21:00:00,20.01
42,2021-12-18 21:30:00,25.0
43,2021-12-18 22:00:00,16.55
44,2021-12-18 22:30:00,26.14
45,2021-12-18 23:00:00,16.64
46,2021-12-18 23:30:00,16.17
47,2021-12-19 00:00:00,15.33
