,時刻,エリアプライス東北(円/kWh)
0,2021-10-02 0:30:00,10.57
1,2021-10-02 1:00:00,10.57
2,2021-10-02 1:30:00,9.01
3,2021-10-02 2:00:00,7.96
4,2021-10-02 2:30:00,8.05
5,2021-10-02 3:00:00,8.06
6,2021-10-02 3:30:00,8.77
7,2021-10-02 4:00:00,9.06
8,2021-10-02 4:30:00,9.53
9,2021-10-02 5:00:00,9.67
10,2021-10-02 5:30:00,9.81
11,2021-10-02 6:00:00,9.81
12,2021-10-02 6:30:00,10.3
13,2021-10-02 7:00:00,8.09
14,2021-10-02 7:30:00,7.7
15,2021-10-02 8:00:00,7.54
16,2021-10-02 8:30:00,7.08
17,2021-10-02 9:00:00,7.08
18,2021-10-02 9:30:00,7.08
19,2021-10-02 10:00:00,7.08
20,2021-10-02 10:30:00,6.92
21,2021-10-02 11:00:00,6.92
22,2021-10-02 11:30:00,7.01
23,2021-10-02 12:00:00,7.01
24,2021-10-02 12:30:00,7.07
25,2021-10-02 13:00:00,7.01
26,2021-10-02 13:30:00,7.11
27,2021-10-02 14:00:00,7.3
28,2021-10-02 14:30:00,9.23
29,2021-10-02 15:00:00,10.53
30,2021-10-02 15:30:00,8.33
31,2021-10-02 16:00:00,10.59
32,2021-10-02 16:30:00,10.73
33,2021-10-02 17:00:00,10.73
34,2021-10-02 17:30:00,10.73
35,2021-10-02 18:00:00,10.73
36,2021-10-02 18:30:00,10.73
37,2021-10-02 19:00:00,10.73
38,2021-10-02 19:30:00,10.73
39,2021-10-02 20:00:00,10.66
40,2021-10-02 20:30:00,10.29
41,2021-10-02 21:00:00,10.29
42,2021-10-02 21:30:00,7.9
43,2021-10-02 22:00:00,8.56
44,2021-10-02 22:30:00,10.7
45,2021-10-02 23:00:00,10.89
46,2021-10-02 23:30:00,10.73
47,2021-10-03 00:00:00,10.71
