,時刻,エリアプライス関西(円/kWh)
0,2021-10-14 0:30:00,10.76
1,2021-10-14 1:00:00,10.32
2,2021-10-14 1:30:00,10.54
3,2021-10-14 2:00:00,11.08
4,2021-10-14 2:30:00,11.36
5,2021-10-14 3:00:00,11.51
6,2021-10-14 3:30:00,11.51
7,2021-10-14 4:00:00,11.38
8,2021-10-14 4:30:00,11.54
9,2021-10-14 5:00:00,11.63
10,2021-10-14 5:30:00,13.36
11,2021-10-14 6:00:00,13.36
12,2021-10-14 6:30:00,50.0
13,2021-10-14 7:00:00,13.66
14,2021-10-14 7:30:00,11.14
15,2021-10-14 8:00:00,10.45
16,2021-10-14 8:30:00,9.89
17,2021-10-14 9:00:00,10.86
18,2021-10-14 9:30:00,10.18
19,2021-10-14 10:00:00,9.71
20,2021-10-14 10:30:00,9.69
21,2021-10-14 11:00:00,9.63
22,2021-10-14 11:30:00,9.53
23,2021-10-14 12:00:00,9.41
24,2021-10-14 12:30:00,8.18
25,2021-10-14 13:00:00,8.25
26,2021-10-14 13:30:00,9.89
27,2021-10-14 14:00:00,11.03
28,2021-10-14 14:30:00,13.56
29,2021-10-14 15:00:00,13.66
30,2021-10-14 15:30:00,11.91
31,2021-10-14 16:00:00,16.2
32,2021-10-14 16:30:00,17.14
33,2021-10-14 17:00:00,25.95
34,2021-10-14 17:30:00,20.0
35,2021-10-14 18:00:00,17.14
36,2021-10-14 18:30:00,25.0
37,2021-10-14 19:00:00,16.34
38,2021-10-14 19:30:00,17.14
39,2021-10-14 20:00:00,13.71
40,2021-10-14 20:30:00,22.72
41,2021-10-14 21:00:00,13.65
42,2021-10-14 21:30:00,13.56
43,2021-10-14 22:00:00,13.36
44,2021-10-14 22:30:00,13.71
45,2021-10-14 23:00:00,13.71
46,2021-10-14 23:30:00,11.08
47,2021-10-15 00:00:00,10.49
