id,日時,予測値_PV,PV発電量,買電量,予測値_demand,battery状態,SOC,充電可能量,放電可能量,残電力量,SOC_増減,充電量可能量_増減,放電可能量_増減,残電力量_増減,充放電指示量,EQ動作状態,沸き上げ自動設定,沸き上げ中状態,ｴﾈﾙｷﾞｰｼﾌﾄ参加状態,沸き上げ開始基準時刻,ｴﾈﾙｷﾞｰｼﾌﾄ参回数,昼間沸き上げｼﾌﾄ時刻1,EQ指示時刻,ｴｱｺﾝ状態,ｴｱｺﾝmode,ｴｱｺﾝ設定温度,ｴｱｺﾝ指示量,気温,湿度,温度計_残電池
1,2021-12-15 11:00:00,,,-0.7746,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2021-12-15 11:30:00,,,-0.8395,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2021-12-15 12:00:00,0.65,,-0.87925,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2021-12-15 12:30:00,0.64,,-0.9055,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2021-12-15 13:00:00,0.615,,-0.9055,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2021-12-15 13:30:00,0.58,,-0.8624,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2021-12-15 14:00:00,0.51,,-0.79805,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2021-12-15 14:30:00,0.4,,-0.43325,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2021-12-15 15:00:00,0.35,,-0.5866,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2021-12-15 15:30:00,0.215,,-0.4493,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2021-12-15 16:00:00,0.15,,-0.23485,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2021-12-15 16:30:00,0.055,,0.3222,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2021-12-15 17:00:00,0.01,,0.1849,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2021-12-15 17:30:00,0.005,,0.17865,,,,,,,,,,,,,,,,,,,,,,,,,,
