id,日時,予測値_PV,PV発電量,買電量,予測値_demand,battery状態,SOC,充電可能量,放電可能量,残電力量,SOC_増減,充電量可能量_増減,放電可能量_増減,残電力量_増減,充放電指示量,EQ動作状態,沸き上げ自動設定,沸き上げ中状態,ｴﾈﾙｷﾞｰｼﾌﾄ参加状態,沸き上げ開始基準時刻,ｴﾈﾙｷﾞｰｼﾌﾄ参回数,昼間沸き上げｼﾌﾄ時刻1,EQ指示時刻,ｴｱｺﾝ状態,ｴｱｺﾝmode,ｴｱｺﾝ設定温度,ｴｱｺﾝ指示量,気温,湿度,温度計_残電池
1,2022-01-11 09:30:00,,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
2,2022-01-11 10:00:00,,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
3,2022-01-11 10:30:00,,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
4,2022-01-11 11:00:00,,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
5,2022-01-11 12:00:00,0.255,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
6,2022-01-11 12:30:00,0.255,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
7,2022-01-11 13:00:00,0.25,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
8,2022-01-11 13:30:00,0.165,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
9,2022-01-11 14:00:00,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2022-01-11 14:30:00,0.09,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
11,2022-01-11 15:00:00,0.085,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
12,2022-01-11 15:30:00,0.07,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
13,2022-01-11 16:00:00,0.045,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
14,2022-01-11 16:30:00,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2022-01-11 17:00:00,0.0,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
16,2022-01-11 17:30:00,0.0,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
17,2022-01-11 18:00:00,0.0,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
18,2022-01-11 18:30:00,0.0,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
19,2022-01-11 19:00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2022-01-11 19:30:00,0.0,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
21,2022-01-11 20:00:00,0.0,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
22,2022-01-11 20:30:00,0.0,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
23,2022-01-11 21:00:00,0.0,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
24,2022-01-11 21:30:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2022-01-11 22:00:00,0.0,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
26,2022-01-11 22:30:00,0.0,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
27,2022-01-11 23:00:00,0.0,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
28,2022-01-11 23:30:00,0.0,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
29,2022-01-12 00:00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2022-01-12 00:30:00,0.0,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
31,2022-01-12 01:00:00,0.0,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
32,2022-01-12 01:30:00,0.0,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
33,2022-01-12 02:00:00,0.0,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
34,2022-01-12 02:30:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,2022-01-12 03:00:00,0.0,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
36,2022-01-12 03:30:00,0.0,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
37,2022-01-12 04:00:00,0.0,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
38,2022-01-12 04:30:00,0.0,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
39,2022-01-12 05:00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,2022-01-12 05:30:00,0.0,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
41,2022-01-12 06:00:00,0.0,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
42,2022-01-12 06:30:00,0.0,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
43,2022-01-12 07:00:00,0.0,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
44,2022-01-12 07:30:00,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2022-01-12 08:00:00,0.105,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
46,2022-01-12 08:30:00,0.195,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
47,2022-01-12 09:00:00,0.37,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
48,2022-01-12 09:30:00,0.445,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
49,2022-01-12 10:00:00,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2022-01-12 10:30:00,0.65,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
51,2022-01-12 11:00:00,0.755,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
52,2022-01-12 11:30:00,0.775,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
53,2022-01-12 12:00:00,0.825,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
54,2022-01-12 12:30:00,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2022-01-12 13:00:00,0.805,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
56,2022-01-12 13:30:00,0.77,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
57,2022-01-12 14:00:00,0.7,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
58,2022-01-12 14:30:00,0.64,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
59,2022-01-12 15:00:00,0.515,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2022-01-12 15:30:00,0.355,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
61,2022-01-12 16:00:00,0.275,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
62,2022-01-12 16:30:00,0.12,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
63,2022-01-12 17:00:00,0.04,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
64,2022-01-12 17:30:00,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,2022-01-12 18:00:00,0.0,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
66,2022-01-12 18:30:00,0.0,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
67,2022-01-12 19:00:00,0.0,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
68,2022-01-12 19:30:00,0.0,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
69,2022-01-12 20:00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,2022-01-12 20:30:00,0.0,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
71,2022-01-12 21:00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,2022-01-12 21:30:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,2022-01-12 22:00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,2022-01-12 22:30:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,2022-01-12 23:00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,2022-01-12 23:30:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,2022-01-13 00:00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,2022-01-13 00:30:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,2022-01-13 01:00:00,0.0,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
228,2022-01-13 01:30:00,0.0,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
229,2022-01-13 02:00:00,0.0,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
230,2022-01-13 02:30:00,0.0,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
231,2022-01-13 03:00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,2022-01-13 03:30:00,0.0,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
307,2022-01-13 04:00:00,0.0,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
308,2022-01-13 04:30:00,0.0,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
309,2022-01-13 05:00:00,0.0,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
310,2022-01-13 05:30:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,2022-01-13 06:00:00,0.0,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
384,2022-01-13 06:30:00,0.0,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
385,2022-01-13 07:00:00,0.0,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
386,2022-01-13 07:30:00,0.025,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
387,2022-01-13 08:00:00,0.075,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,2022-01-13 08:30:00,0.145,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
389,2022-01-13 09:00:00,0.26,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
462,2022-01-13 09:30:00,0.36,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
463,2022-01-13 10:00:00,0.56,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
464,2022-01-13 10:30:00,0.605,,,,,,,,,,,,,,,,,,,,,,,,,,,,
465,2022-01-13 11:00:00,0.695,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
466,2022-01-13 11:30:00,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,
467,2022-01-13 12:00:00,0.755,,,,,,,,,,,,,,,,,,,,,,,,,,,,
539,2022-01-13 12:30:00,0.765,,,,,,,,,,,,,,,,,,,,,,,,,,,,
540,2022-01-13 13:00:00,0.785,,,,,,,,,,,,,,,,,,,,,,,,,,,,
541,2022-01-13 13:30:00,0.755,,,,,,,,,,,,,,,,,,,,,,,,,,,,
542,2022-01-13 14:00:00,0.69,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
543,2022-01-13 14:30:00,0.625,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
544,2022-01-13 15:00:00,0.48,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
617,2022-01-13 15:30:00,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
618,2022-01-13 16:00:00,0.26,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
619,2022-01-13 16:30:00,0.115,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
620,2022-01-13 17:00:00,0.04,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
621,2022-01-13 17:30:00,0.015,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
622,2022-01-13 18:00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
695,2022-01-13 18:30:00,0.0,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
696,2022-01-13 19:00:00,0.0,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
697,2022-01-13 19:30:00,0.0,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
698,2022-01-13 20:00:00,0.0,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
699,2022-01-13 20:30:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
700,2022-01-13 21:00:00,0.0,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
773,2022-01-13 21:30:00,0.0,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
774,2022-01-13 22:00:00,0.0,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
775,2022-01-13 22:30:00,0.0,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
776,2022-01-13 23:00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
777,2022-01-13 23:30:00,0.0,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
778,2022-01-14 00:00:00,0.0,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
851,2022-01-14 00:30:00,0.0,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
852,2022-01-14 01:00:00,0.0,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
853,2022-01-14 01:30:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
854,2022-01-14 02:00:00,0.0,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
855,2022-01-14 02:30:00,0.0,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
856,2022-01-14 03:00:00,0.0,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
930,2022-01-14 03:30:00,0.0,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
931,2022-01-14 04:00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
932,2022-01-14 04:30:00,0.0,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
933,2022-01-14 05:00:00,0.0,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
934,2022-01-14 05:30:00,0.0,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
935,2022-01-14 06:00:00,0.0,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
1009,2022-01-14 06:30:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010,2022-01-14 07:00:00,0.0,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
1011,2022-01-14 07:30:00,0.035,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
1012,2022-01-14 08:00:00,0.11,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
1013,2022-01-14 08:30:00,0.195,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
1014,2022-01-14 09:00:00,0.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1088,2022-01-14 09:30:00,0.45,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
1089,2022-01-14 10:00:00,0.6,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
1090,2022-01-14 10:30:00,0.655,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
1091,2022-01-14 11:00:00,0.76,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
1092,2022-01-14 11:30:00,0.785,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1093,2022-01-14 12:00:00,0.83,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
1166,2022-01-14 12:30:00,0.825,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
1167,2022-01-14 13:00:00,0.815,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
1168,2022-01-14 13:30:00,0.78,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
1169,2022-01-14 14:00:00,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1170,2022-01-14 14:30:00,0.59,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
1171,2022-01-14 15:00:00,0.525,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
1243,2022-01-14 15:30:00,0.365,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
1244,2022-01-14 16:00:00,0.285,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
1245,2022-01-14 16:30:00,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1246,2022-01-14 17:00:00,0.045,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
1247,2022-01-14 17:30:00,0.015,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
1248,2022-01-14 18:00:00,0.0,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
1322,2022-01-14 18:30:00,0.0,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
1323,2022-01-14 19:00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1324,2022-01-14 19:30:00,0.0,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
1325,2022-01-14 20:00:00,0.0,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
1326,2022-01-14 20:30:00,0.0,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
1327,2022-01-14 21:00:00,0.0,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
1400,2022-01-14 21:30:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1401,2022-01-14 22:00:00,0.0,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
1402,2022-01-14 22:30:00,0.0,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
1403,2022-01-14 23:00:00,0.0,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
1404,2022-01-14 23:30:00,0.0,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
1405,2022-01-15 00:00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1475,2022-01-15 00:30:00,0.0,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
1476,2022-01-15 01:00:00,0.0,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
1477,2022-01-15 01:30:00,0.0,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
1478,2022-01-15 02:00:00,0.0,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
1479,2022-01-15 02:30:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1480,2022-01-15 03:00:00,0.0,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
1554,2022-01-15 03:30:00,0.0,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
1555,2022-01-15 04:00:00,0.0,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
1556,2022-01-15 04:30:00,0.0,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
1557,2022-01-15 05:00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1558,2022-01-15 05:30:00,0.0,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
1559,2022-01-15 06:00:00,0.0,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
1631,2022-01-15 06:30:00,0.0,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
1632,2022-01-15 07:00:00,0.0,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
1633,2022-01-15 07:30:00,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1634,2022-01-15 08:00:00,0.11,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
1635,2022-01-15 08:30:00,0.195,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
1636,2022-01-15 09:00:00,0.375,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
1709,2022-01-15 09:30:00,0.45,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
1710,2022-01-15 10:00:00,0.595,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1711,2022-01-15 10:30:00,0.65,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
1712,2022-01-15 11:00:00,0.755,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
1713,2022-01-15 11:30:00,0.78,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
1714,2022-01-15 12:00:00,0.72,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
1787,2022-01-15 12:30:00,0.705,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1788,2022-01-15 13:00:00,0.67,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
1789,2022-01-15 13:30:00,0.65,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
1790,2022-01-15 14:00:00,0.61,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
1791,2022-01-15 14:30:00,0.555,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
1792,2022-01-15 15:00:00,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1865,2022-01-15 15:30:00,0.31,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
1866,2022-01-15 16:00:00,0.25,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
1867,2022-01-15 16:30:00,0.11,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
1868,2022-01-15 17:00:00,0.04,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
1869,2022-01-15 17:30:00,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1870,2022-01-15 18:00:00,0.0,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
1943,2022-01-15 18:30:00,0.0,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
1944,2022-01-15 19:00:00,0.0,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
1945,2022-01-15 19:30:00,0.0,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
1946,2022-01-15 20:00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,2022-01-15 20:30:00,0.0,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
1948,2022-01-15 21:00:00,0.0,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
2020,2022-01-15 21:30:00,0.0,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
2021,2022-01-15 22:00:00,0.0,,,,,,,,,,,,,,ON,Automatic water heating function used,Heating,,,,,,,,,,,,
2022,2022-01-15 22:30:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
