id,日時,予測値_PV,PV発電量,買電量,予測値_demand,battery状態,SOC,充電可能量,放電可能量,残電力量,SOC_増減,充電量可能量_増減,放電可能量_増減,残電力量_増減,充放電指示量,EQ動作状態,沸き上げ自動設定,沸き上げ中状態,ｴﾈﾙｷﾞｰｼﾌﾄ参加状態,沸き上げ開始基準時刻,ｴﾈﾙｷﾞｰｼﾌﾄ参回数,昼間沸き上げｼﾌﾄ時刻1,EQ指示時刻,ｴｱｺﾝ状態,ｴｱｺﾝmode,ｴｱｺﾝ設定温度,ｴｱｺﾝ指示量,気温,湿度,温度計_残電池
1,2021-12-05 00:30:00,,,0.0896,,,,,,,,,,,,,,,,,,,,OFF,Heating,25,,,,
5,2021-12-05 01:00:00,,,0.09315,,,,,,,,,,,,,,,,,,,,OFF,Heating,25,,,,
6,2021-12-05 01:30:00,,,0.093,,,,,,,,,,,,,,,,,,,,OFF,Heating,25,,,,
7,2021-12-05 02:00:00,,,0.1385,,,,,,,,,,,,,,,,,,,,OFF,Heating,25,,,,
8,2021-12-05 02:30:00,,,0.1365,,,,,,,,,,,,,,,,,,,,OFF,Heating,25,,,,
9,2021-12-05 03:00:00,,,0.0992,,,,,,,,,,,,,,,,,,,,OFF,Heating,25,,,,
10,2021-12-05 03:30:00,,,0.09475,,,,,,,,,,,,,,,,,,,,OFF,Heating,25,,,,
11,2021-12-05 04:00:00,,,0.11905,,,,,,,,,,,,,,,,,,,,OFF,Heating,25,,,,
12,2021-12-05 04:30:00,,,0.79115,,,,,,,,,,,,,,,,,,,,OFF,Heating,25,,,,
13,2021-12-05 05:00:00,,,0.804,,,,,,,,,,,,,,,,,,,,OFF,Heating,25,,,,
14,2021-12-05 05:30:00,,,0.78805,,,,,,,,,,,,,,,,,,,,OFF,Heating,25,,,,
15,2021-12-05 06:00:00,,,0.30625,,,,,,,,,,,,,,,,,,,,OFF,Heating,25,,,,
16,2021-12-05 06:30:00,,,0.096,,,,,,,,,,,,,,,,,,,,OFF,Heating,25,,,,
17,2021-12-05 07:00:00,,,0.092,,,,,,,,,,,,,,,,,,,,OFF,Heating,25,,,,
18,2021-12-05 07:30:00,,,0.0924,,,,,,,,,,,,,,,,,,,,OFF,Heating,25,,,,
19,2021-12-05 08:00:00,,,0.6634,,,,,,,,,,,,,,,,,,,,ON,Heating,25,,,,
20,2021-12-05 08:30:00,,,0.48825,,,,,,,,,,,,,,,,,,,,ON,Heating,25,,,,
21,2021-12-05 09:00:00,,,0.25155,,,,,,,,,,,,,,,,,,,,ON,Heating,25,,,,
22,2021-12-05 09:30:00,,,0.491,,,,,,,,,,,,,,,,,,,,ON,Heating,25,,,,
23,2021-12-05 10:00:00,,,0.3964,,,,,,,,,,,,,,,,,,,,ON,Heating,25,,,,
24,2021-12-05 10:30:00,,,0.3473,,,,,,,,,,,,,,,,,,,,ON,Heating,25,,,,
25,2021-12-05 11:00:00,,,0.3218,,,,,,,,,,,,,,,,,,,,ON,Heating,25,,,,
26,2021-12-05 11:30:00,,,0.27705,,,,,,,,,,,,,,,,,,,,ON,Heating,25,,,,
27,2021-12-05 12:00:00,,,0.276,,,,,,,,,,,,,,,,,,,,ON,Heating,25,,,,
28,2021-12-05 12:30:00,,,0.2798,,,,,,,,,,,,,,,,,,,,ON,Heating,25,,,,
29,2021-12-05 13:00:00,,,0.2789,,,,,,,,,,,,,,,,,,,,ON,Heating,25,,,,
30,2021-12-05 13:30:00,,,0.2965,,,,,,,,,,,,,,,,,,,,ON,Heating,25,,,,
31,2021-12-05 14:00:00,,,0.26155,,,,,,,,,,,,,,,,,,,,ON,Heating,25,,,,
32,2021-12-05 14:30:00,,,0.2417,,,,,,,,,,,,,,,,,,,,ON,Heating,25,,,,
33,2021-12-05 15:00:00,,,0.24015,,,,,,,,,,,,,,,,,,,,ON,Heating,25,,,,
34,2021-12-05 15:30:00,,,0.16815,,,,,,,,,,,,,,,,,,,,ON,Automatic,253,,,,
35,2021-12-05 16:00:00,,,0.18695,,,,,,,,,,,,,,,,,,,,ON,Automatic,253,,,,
36,2021-12-05 16:30:00,,,0.1854,,,,,,,,,,,,,,,,,,,,ON,Automatic,253,,,,
37,2021-12-05 17:00:00,,,0.1894,,,,,,,,,,,,,,,,,,,,ON,Automatic,253,,,,
38,2021-12-05 17:30:00,,,0.30105,,,,,,,,,,,,,,,,,,,,ON,Automatic,253,,,,
39,2021-12-05 18:00:00,,,0.26015,,,,,,,,,,,,,,,,,,,,ON,Automatic,253,,,,
40,2021-12-05 18:30:00,,,0.2443,,,,,,,,,,,,,,,,,,,,ON,Automatic,253,,,,
41,2021-12-05 19:00:00,,,0.437,,,,,,,,,,,,,,,,,,,,ON,Automatic,253,,,,
42,2021-12-05 19:30:00,,,0.6275,,,,,,,,,,,,,,,,,,,,ON,Automatic,253,,,,
43,2021-12-05 20:00:00,,,0.99185,,,,,,,,,,,,,,,,,,,,ON,Automatic,253,,,,
44,2021-12-05 20:30:00,,,0.9079,,,,,,,,,,,,,,,,,,,,ON,Automatic,253,,,,
45,2021-12-05 21:00:00,,,1.40445,,,,,,,,,,,,,,,,,,,,ON,Automatic,253,,,,
46,2021-12-05 21:30:00,,,1.22245,,,,,,,,,,,,,,,,,,,,ON,Automatic,253,,,,
47,2021-12-05 22:00:00,,,1.27275,,,,,,,,,,,,,,,,,,,,ON,Automatic,253,,,,
48,2021-12-05 22:30:00,,,0.6951,,,,,,,,,,,,,,,,,,,,ON,Automatic,253,,,,
49,2021-12-05 23:00:00,,,0.22695,,,,,,,,,,,,,,,,,,,,ON,Automatic,253,,,,
50,2021-12-05 23:30:00,,,0.1388,,,,,,,,,,,,,,,,,,,,OFF,Heating,25,,,,
51,2021-12-06 00:00:00,,,0.0673,,,,,,,,,,,,,,,,,,,,OFF,Heating,25,,,,
52,2021-12-06 00:30:00,,,0.072,,,,,,,,,,,,,,,,,,,,OFF,Heating,25,,,,
53,2021-12-06 01:00:00,,,0.10685,,,,,,,,,,,,,,,,,,,,OFF,Heating,25,,,,
54,2021-12-06 01:30:00,,,0.1206,,,,,,,,,,,,,,,,,,,,OFF,Heating,25,,,,
55,2021-12-06 02:00:00,,,0.08545,,,,,,,,,,,,,,,,,,,,OFF,Heating,25,,,,
56,2021-12-06 02:30:00,,,0.07765,,,,,,,,,,,,,,,,,,,,OFF,Heating,25,,,,
57,2021-12-06 03:00:00,,,0.7574,,,,,,,,,,,,,,,,,,,,OFF,Heating,25,,,,
58,2021-12-06 03:30:00,,,0.82655,,,,,,,,,,,,,,,,,,,,OFF,Heating,25,,,,
59,2021-12-06 04:00:00,,,0.8275,,,,,,,,,,,,,,,,,,,,OFF,Heating,25,,,,
60,2021-12-06 04:30:00,,,0.74655,,,,,,,,,,,,,,,,,,,,OFF,Heating,25,,,,
61,2021-12-06 05:00:00,,,0.1443,,,,,,,,,,,,,,,,,,,,OFF,Heating,25,,,,
62,2021-12-06 05:30:00,,,0.90255,,,,,,,,,,,,,,,,,,,,ON,Heating,25,,,,
63,2021-12-06 06:00:00,,,1.3929,,,,,,,,,,,,,,,,,,,,ON,Heating,25,,,,
64,2021-12-06 06:30:00,,,1.28695,,,,,,,,,,,,,,,,,,,,ON,Heating,25,,,,
65,2021-12-06 07:00:00,,,0.73005,,,,,,,,,,,,,,,,,,,,ON,Heating,25,,,,
66,2021-12-06 07:30:00,,,0.28935,,,,,,,,,,,,,,,,,,,,ON,Heating,25,,,,
67,2021-12-06 08:00:00,,,0.27175,,,,,,,,,,,,,,,,,,,,ON,Heating,25,,,,
68,2021-12-06 08:30:00,,,0.27125,,,,,,,,,,,,,,,,,,,,ON,Heating,25,,,,
69,2021-12-06 09:00:00,,,0.27215,,,,,,,,,,,,,,,,,,,,ON,Heating,25,,,,
70,2021-12-06 09:30:00,,,0.26935,,,,,,,,,,,,,,,,,,,,ON,Heating,25,,,,
71,2021-12-06 10:00:00,,,0.2225,,,,,,,,,,,,,,,,,,,,ON,Heating,25,,,,
72,2021-12-06 10:30:00,,,0.22755,,,,,,,,,,,,,,,,,,,,ON,Heating,25,,,,
73,2021-12-06 11:00:00,,,0.22885,,,,,,,,,,,,,,,,,,,,ON,Heating,25,,,,
74,2021-12-06 11:30:00,,,0.22845,,,,,,,,,,,,,,,,,,,,ON,Heating,25,,,,
75,2021-12-06 12:00:00,,,0.2311,,,,,,,,,,,,,,,,,,,,ON,Heating,25,,,,
76,2021-12-06 12:30:00,,,0.2302,,,,,,,,,,,,,,,,,,,,ON,Heating,25,,,,
77,2021-12-06 13:00:00,,,0.2287,,,,,,,,,,,,,,,,,,,,ON,Heating,25,,,,
78,2021-12-06 13:30:00,,,0.2272,,,,,,,,,,,,,,,,,,,,ON,Heating,25,,,,
79,2021-12-06 14:00:00,,,0.27165,,,,,,,,,,,,,,,,,,,,ON,Heating,25,,,,
80,2021-12-06 14:30:00,,,0.2584,,,,,,,,,,,,,,,,,,,,ON,Heating,25,,,,
