id,日時,予測値_PV,PV発電量,買電量,予測値_demand,battery状態,SOC,充電可能量,放電可能量,残電力量,SOC_増減,充電量可能量_増減,放電可能量_増減,残電力量_増減,充放電指示量,EQ動作状態,沸き上げ自動設定,沸き上げ中状態,ｴﾈﾙｷﾞｰｼﾌﾄ参加状態,沸き上げ開始基準時刻,ｴﾈﾙｷﾞｰｼﾌﾄ参回数,昼間沸き上げｼﾌﾄ時刻1,EQ指示時刻,ｴｱｺﾝ状態,ｴｱｺﾝmode,ｴｱｺﾝ設定温度,ｴｱｺﾝ指示量,気温,湿度,温度計_残電池
1,2021-12-15 14:00:00,,0.29455,-0.10585,,Standby,50,3.268,2.615,,,,,,,,,,,,,,,,,,,,,
4,2021-12-15 14:30:00,,0.20605,-0.00905,,Standby,50,3.268,2.615,,,,,,,,,,,,,,,,,,,,,
5,2021-12-15 15:00:00,,0.1114,0.0742,,Standby,49,3.334,2.549,,,,,,,,,,,,,,,,,,,,,
6,2021-12-15 15:30:00,,0.02775,0.04995,,Discharging,46,3.53,2.353,,,,,,,,,,,,,,,,,,,,,
7,2021-12-15 16:00:00,,0.00015,0.04825,,Discharging,38,4.053,1.83,,,,,,,,,,,,,,,,,,,,,
8,2021-12-15 16:30:00,,0.0,0.048,,Discharging,21,5.164,0.719,,,,,,,,,,,,,,,,,,,,,
9,2021-12-15 17:00:00,,0.0,0.3127,,Standby,11,5.818,0.065,,,,,,,,,,,,,,,,,,,,,
10,2021-12-15 17:30:00,,0.0,0.2448,,Standby,11,5.818,0.065,,,,,,,,,,,,,,,,,,,,,
11,2021-12-15 18:00:00,0.0,0.0,0.2294,,Standby,11,5.818,0.065,,,,,,,,,,,,,,,,,,,,,
12,2021-12-15 18:30:00,0.0,0.0,0.3728,,Standby,11,5.818,0.065,,,,,,,,,,,,,,,,,,,,,
13,2021-12-15 19:00:00,0.0,0.0,0.7982,,Standby,11,5.818,0.065,,,,,,,,,,,,,,,,,,,,,
14,2021-12-15 19:30:00,0.0,0.0,0.4219,,Standby,11,5.818,0.065,,,,,,,,,,,,,,,,,,,,,
15,2021-12-15 20:00:00,0.0,0.0,0.9903,,Standby,11,5.818,0.065,,,,,,,,,,,,,,,,,,,,,
16,2021-12-15 20:30:00,0.0,0.0,0.8626,,Standby,11,5.818,0.065,,,,,,,,,,,,,,,,,,,,,
17,2021-12-15 21:00:00,0.0,0.0,0.64765,,Standby,11,5.818,0.065,,,,,,,,,,,,,,,,,,,,,
18,2021-12-15 21:30:00,0.0,0.0,0.53905,,Standby,11,5.818,0.065,,,,,,,,,,,,,,,,,,,,,
19,2021-12-15 22:00:00,0.0,0.0,0.91155,,Standby,11,5.818,0.065,,,,,,,,,,,,,,,,,,,,,
20,2021-12-15 22:30:00,0.0,0.0,0.84725,,Standby,11,5.818,0.065,,,,,,,,,,,,,,,,,,,,,
21,2021-12-15 23:00:00,0.0,0.0,0.6695,,Standby,11,5.818,0.065,,,,,,,,,,,,,,,,,,,,,
22,2021-12-15 23:30:00,0.0,0.0,0.4924,,Standby,11,5.818,0.065,,,,,,,,,,,,,,,,,,,,,
23,2021-12-16 00:00:00,0.0,0.0,0.4158,,Standby,11,5.818,0.065,,,,,,,,,,,,,,,,,,,,,
24,2021-12-16 00:30:00,0.0,0.0,0.5235,,Standby,11,5.818,0.065,,,,,,,,,,,,,,,,,,,,,
25,2021-12-16 01:00:00,0.0,0.0,1.17975,,Charging,11,5.818,0.065,,,,,,,,,,,,,,,,,,,,,
26,2021-12-16 01:30:00,0.0,0.0,1.73625,,Charging,27,4.772,1.111,,,,,,,,,,,,,,,,,,,,,
27,2021-12-16 02:00:00,0.0,0.0,1.7669,,Charging,44,3.661,2.222,,,,,,,,,,,,,,,,,,,,,
28,2021-12-16 02:30:00,0.0,0.0,1.6609,,Charging,60,2.615,3.268,,,,,,,,,,,,,,,,,,,,,
29,2021-12-16 03:00:00,0.0,0.0,1.9157,,Charging,76,1.569,4.315,,,,,,,,,,,,,,,,,,,,,
30,2021-12-16 03:30:00,0.0,0.0,1.8362,,Charging,92,0.523,5.361,,,,,,,,,,,,,,,,,,,,,
31,2021-12-16 04:00:00,0.0,0.0,1.4195,,Standby,100,0.0,5.884,,,,,,,,,,,,,,,,,,,,,
32,2021-12-16 04:30:00,0.0,0.0,0.93595,,Standby,100,0.0,5.884,,,,,,,,,,,,,,,,,,,,,
33,2021-12-16 05:00:00,0.0,0.0,1.0156,,Standby,100,0.0,5.884,,,,,,,,,,,,,,,,,,,,,
34,2021-12-16 05:30:00,0.0,0.0,0.9405,,Standby,100,0.0,5.884,,,,,,,,,,,,,,,,,,,,,
35,2021-12-16 06:00:00,0.0,0.0,0.4317,,Discharging,100,0.0,5.884,,,,,,,,,,,,,,,,,,,,,
36,2021-12-16 06:30:00,0.0,0.0,0.049,,Discharging,87,0.849,5.034,,,,,,,,,,,,,,,,,,,,,
37,2021-12-16 07:00:00,0.0,0.0,0.0487,,Discharging,77,1.503,4.38,,,,,,,,,,,,,,,,,,,,,
38,2021-12-16 07:30:00,0.03,0.00125,0.0491,,Discharging,69,2.026,3.857,,,,,,,,,,,,,,,,,,,,,
39,2021-12-16 08:00:00,0.095,0.0262,0.04915,,Discharging,61,2.549,3.334,,,,,,,,,,,,,,,,,,,,,
40,2021-12-16 08:30:00,0.155,0.28875,-0.0172,,Standby,60,2.615,3.268,,,,,,,,,,,,,,,,,,,,,
41,2021-12-16 09:00:00,0.275,0.377,-0.1027,,Standby,60,2.615,3.268,,,,,,,,,,,,,,,,,,,,,
42,2021-12-16 09:30:00,0.32,0.41835,-0.0861,,Standby,60,2.615,3.268,,,,,,,,,,,,,,,,,,,,,
43,2021-12-16 10:00:00,0.405,0.48275,-0.0982,,Standby,57,2.811,3.072,,-1,0.066,-0.066,0.0,,,,,,,,,,,,,,,,
44,2021-12-16 10:30:00,0.43,0.48555,-0.04175,,Standby,55,2.942,2.942,,,,,,,,,,,,,,,,,,,,,
45,2021-12-16 11:00:00,0.48,0.45355,-0.1397,,Standby,54,3.007,2.876,,,,,,,,,,,,,,,,,,,,,
46,2021-12-16 11:30:00,0.465,0.4882,-0.0713,,Discharging,53,3.072,2.811,,-10,0.654,-0.654,-0.654,,,,,,,,,,,,,,,,
47,2021-12-16 12:00:00,0.52,0.4094,0.0683,,Standby,37,4.118,1.765,,-3,0.196,-0.196,-0.196,,,,,,,,,,,,,,,,
48,2021-12-16 12:30:00,0.515,0.4409,-0.01315,,Standby,35,4.249,1.634,,-4,0.262,-0.262,-0.262,,,,,,,,,,,,,,,,
49,2021-12-16 13:00:00,0.515,0.38445,0.0349,,Discharging,29,4.641,1.242,,-8,0.523,-0.523,-0.523,,,,,,,,,,,,,,,,
